location_id,city,state,season_year,crop_label,confidence_label,data_quality_flag,sensor_nitrogen,sensor_phosphorus,sensor_potassium,sensor_temperature,sensor_moisture,sensor_ec,sensor_ph,weather_temp_mean,weather_humidity_mean,weather_rainfall_mm,weather_sunshine_hrs,weather_wind_speed,lat,lon,altitude_m,organic_carbon_pct,irrigation_available,moisture_deficit,ec_stress_flag,month_sin,month_cos,soil_drainage_ordinal,drainage_class_encoded,agro_zone_encoded,soil_type_Alluvial,soil_type_Black (Regur),soil_type_Clay,soil_type_Laterite,soil_type_Red,soil_type_Sandy,soil_texture_Clay,soil_texture_Clay Loam,soil_texture_Gravelly Loam,soil_texture_Heavy Clay,soil_texture_Sand,soil_texture_Sandy Loam,soil_texture_Silt Loam,soil_texture_Silty Clay,is_season_Kharif,is_season_Rabi,is_season_Zaid,crop_label_encoded
MH-KNK-01,Mumbai,Maharashtra,2023,Black Gram,high,clean,33.55,38.32,39.9,26.9,30.2,321.0,6.5,27.4,78.8,213.9,4.3,10.3,19.076,72.8777,14,0.26,0,8.809999999999999,0,-1.0,-1.8369701987210297e-16,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
MH-KNK-01,Mumbai,Maharashtra,2023,Bajra,medium,clean,101.3,17.83,77.18,28.4,33.6,330.0,6.8,28.8,72.7,288.6,6.7,14.7,19.076,72.8777,14,0.26,0,4.739999999999998,0,-0.4999999999999997,-0.8660254037844388,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
MH-KNK-01,Mumbai,Maharashtra,2023,Sesame,high,clean,73.39,43.98,64.83,26.0,28.5,337.0,6.4,26.2,82.2,115.6,5.7,12.6,19.076,72.8777,14,0.26,0,16.939999999999998,0,-0.8660254037844386,0.5000000000000001,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,19
MH-KNK-01,Mumbai,Maharashtra,2023,Black Gram,high,clean,21.23,38.06,62.08,29.3,34.1,540.0,6.4,29.2,68.8,196.3,6.3,17.9,19.076,72.8777,14,0.26,0,14.469999999999999,0,-0.4999999999999997,-0.8660254037844388,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
MH-KNK-01,Mumbai,Maharashtra,2023,Black Gram,high,clean,38.85,23.46,33.02,27.2,37.0,521.0,6.6,28.0,77.2,326.2,6.9,11.0,19.076,72.8777,14,0.26,0,4.380000000000003,0,-0.4999999999999997,-0.8660254037844388,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
MH-KNK-01,Mumbai,Maharashtra,2023,Bajra,medium,clean,84.0,26.74,67.7,29.6,33.6,336.0,6.4,30.2,72.0,208.6,5.5,9.7,19.076,72.8777,14,0.26,0,12.740000000000002,0,1.2246467991473532e-16,-1.0,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
MH-KNK-01,Mumbai,Maharashtra,2023,Bajra,medium,clean,48.62,40.17,86.67,27.3,34.7,476.0,6.1,27.7,87.1,307.4,5.2,9.3,19.076,72.8777,14,0.26,0,3.9600000000000044,0,-0.8660254037844385,-0.5000000000000004,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
MH-KNK-01,Mumbai,Maharashtra,2023,Bajra,medium,clean,80.37,36.25,78.96,30.8,32.9,293.0,6.5,30.4,75.3,333.3,5.0,14.2,19.076,72.8777,14,0.26,0,-0.4300000000000068,0,-0.8660254037844385,-0.5000000000000004,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
MH-KNK-01,Mumbai,Maharashtra,2023,Sesame,high,clean,72.11,41.99,65.6,31.1,28.4,609.0,6.7,31.1,85.1,92.2,4.4,11.4,19.076,72.8777,14,0.26,0,19.18,0,-1.0,-1.8369701987210297e-16,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,19
MH-KNK-01,Mumbai,Maharashtra,2023,Groundnut,medium,clean,41.33,39.99,102.18,25.9,34.2,468.0,6.0,26.4,89.3,190.7,5.8,10.8,19.076,72.8777,14,0.26,0,15.130000000000003,0,-0.8660254037844385,-0.5000000000000004,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,8
